title,pmid,abstract,indice
"Absorption, metabolism and excretion of Choladi green tea flavan-3-ols by humans",18979506,"Ten healthy human subjects consumed 500 mL of Choladi green tea, containing 648 mumol of flavan-3-ols after which plasma and urine were collected over a 24 h period and analysed by HPLC-MS. Plasma contained a total of ten metabolites, in the form of O-methylated, sulphated and glucuronide conjugates of (epi)catechin and (epi)gallocatechin, with 29-126 nM peak plasma concentrations (C(max)) occurring 1.6-2.3 h after ingestion, indicative of absorption in the small intestine. Plasma also contained unmetabolised (-)-epigallocatechin-3-gallate and (-)-epicatechin-3-gallate with respective C(max) values of 55 and 25 nM. Urine excreted 0-24 h after consumption of green tea contained 15 metabolites of (epi)catechin and (epi)gallocatechin, but (-)-epigallocatechin-3-gallate and (-)-epicatechin-3-gallate were not detected. Overall flavan-3-ol metabolite excretion was equivalent to 8.1% of intake, however, urinary (epi)gallocatechin metabolites corresponded to 11.4% of (epi)gallocatechin ingestion while (epi)catechin metabolites were detected in amounts equivalent to 28.5% of (epi)catechin intake. These findings imply that (epi)catechins are highly bioavailable, being absorbed and excreted to a much greater extent than most other flavonoids. It is also evident that flavan-3-ol metabolites are rapidly turned over in the circulatory system and as a consequence C(max) values are not an accurate quantitative indicator of the extent to which absorption occurs.",1099
Metabolite profiling of hydroxycinnamate derivatives in plasma and urine after the ingestion of coffee by humans: identification of biomarkers of coffee consumption,19460943,"Human subjects drank coffee containing 412 mumol of chlorogenic acids, and plasma and urine were collected 0 to 24 h after ingestion and were analyzed by high-performance liquid chromatography-mass spectrometry. Within 1 h, some of the components in the coffee reached nanomole peak plasma concentrations (C(max)), whereas chlorogenic acid metabolites, including caffeic acid-3-O-sulfate and ferulic acid-4-O-sulfate and sulfates of 3- and 4-caffeoylquinic acid lactones, had higher C(max) values. The short time to reach C(max) (T(max)) indicates absorption of these compounds in the small intestine. In contrast, dihydroferulic acid, its 4-O-sulfate, and dihydrocaffeic acid-3-O-sulfate exhibited much higher C(max) values (145-385 nM) with T(max) values in excess of 4 h, indicating absorption in the large intestine and the probable involvement of catabolism by colonic bacteria. These three compounds, along with ferulic acid-4-O-sulfate and dihydroferulic acid-4-O-glucuronide, were also major components to be excreted in urine (8.4-37.1 mumol) after coffee intake. Feruloylglycine, which is not detected in plasma, was also a major urinary component (20.7 mumol excreted). Other compounds, not accumulating in plasma but excreted in smaller quantities, included the 3-O-sulfate and 3-O-glucuronide of isoferulic acid, dihydro(iso)ferulic acid-3-O-glucuronide, and dihydrocaffeic acid-3-O-glucuronide. Overall, the 119.9 mumol excretion of the chlorogenic acid metabolites corresponded to 29.1% of intake, indicating that as well as being subject to extensive metabolism, chlorogenic acids in coffee are well absorbed. Pathways for the formation of the various metabolites within the body are proposed. Urinary dihydrocaffeic acid-3-O-sulfate and feruloylglycine are potentially very sensitive biomarkers for the consumption of relatively small amounts of coffee.",1100
Molecular definition of the taste of roasted cocoa nibs (Theobroma cacao) by means of quantitative studies and sensory experiments,16848542,"Sensory-guided decomposition of roasted cocoa nibs revealed that, besides theobromine and caffeine, a series of bitter-tasting 2,5-diketopiperazines and flavan-3-ols were the key inducers of the bitter taste as well as the astringent mouthfeel imparted upon consumption of roasted cocoa. In addition, a number of polyphenol glycopyranosides as well as a series of N-phenylpropenoyl-l-amino acids have been identified as key astringent compounds of roasted cocoa. In the present investigation, a total of 84 putative taste compounds were quantified in roasted cocoa beans and then rated for the taste contribution on the basis of dose-over-threshold (DoT) factors to bridge the gap between pure structural chemistry and human taste perception. To verify these quantitative results, an aqueous taste reconstitute was prepared by blending aqueous solutions of the individual taste compounds in their ""natural"" concentrations. Sensory analyses revealed that the taste profile of this artificial cocktail was very close to the taste profile of an aqueous suspension of roasted cocoa nibs. To further narrow down the number of key taste compounds, finally, taste omission experiments and human dose/response functions were performed, demonstrating that the bitter-tasting alkaloids theobromine and caffeine, seven bitter-tasting diketopiperazines, seven bitter- and astringent-tasting flavan-3-ols, six puckering astringent N-phenylpropenoyl-l-amino acids, four velvety astringent flavonol glycosides, gamma-aminobutyric acid, beta-aminoisobutyric acid, and six organic acids are the key organoleptics of the roasted cocoa nibs.",1101
"Minerals, phytic acid, tannin and rutin in buckwheat seed milling fractions",NA,NA,1102
Determination of flavonoids and stilbenes in red wine and related biological products by HPLC and HPLC-ESI-MS-MS,11605763,"To investigate probable health benefits of flavonoids and stilbenes in red wine a new reversed-phase (RP) high-performance liquid-chromatographic (HPLC) method with enhanced separation efficiency and improved selectivity, sensitivity, and speed has been established for determination of the flavonoids quercetin, myricetin and kaempferol and the stilbenes cis- and trans-resveratrol, in a single run . UV-absorbance, fluorescence (FLD), and mass-spectrometric (MS) detection were also evaluated. UV-absorbance detection at 320 nm for stilbenes and 377 nm for flavonoids enables their determination up to the nanogram range with a linearity of R2>0.9999 (linear range 50 ng mL(-1)-50 microg mL(-1)). Calculated values of average recoveries were between 95 and 105% for all analytes. For resveratrol, fluorescence detection was highly selective and twice as sensitive as UV detection, and linearity was satisfactory (R2>0.9996; linear range see UV detection). For the detection of the hydrophilic glycosidic compounds piceid and rutin, which are coeluted with other hydrophilic ingredients, the validated RP HPLC system was coupled to a quadrupole ion-trap mass-spectrometer (MS) via an electrospray interface (ESI) with 25% ammonia solution as sheath liquid. MS detection was, highly linear (R2>0.9878; linear range 50 ng mL(-1)-50 microg mL(-1)) for all investigated analytes and the limits of detection were in the low nanogram range. Compared with UV detection MS detection resulted in a 200% increase in signal intensity for myricetin and 400% increases for quercetin and kaempferol, but equal signal intensity for resveratrol. Calculated values of average recoveries were 102% for myricetin and 79% for piceid. Collision induced dissociation (CID) was also used to obtain characteristic fragmentation fingerprints to facilitate qualitative and quantitative analysis even in complex matrices. Finally, this hyphenated HPLC-ESI-MS method was highly suitable and an essential improvement compared with UV- and fluorescence detection.",1103
Quantitative analysis of xanthohumol and related prenylflavonoids in hops and beer by liquid chromatography_tandem mass spectrometry,10070768,"A method for quantitation of six prenylflavonoids (xanthohumol, isoxanthohumol, desmethylxanthohumol, 6- and 8-prenylnaringenins and 6-geranylnaringenin) in hops and beer by HPLC-tandem mass spectrometry has been developed. The method allows direct analysis of beer and crude methanolic extracts of hops. After HPLC separation, prenylflavonoids were detected by positive ion multiple-reaction monitoring using a triple-quadrupole mass spectrometer equipped with a heated nebulizer--atmospheric pressure chemical ionization interface. The accuracy and precision were evaluated by replicate analyses of (spiked) samples. Thirteen commercial beers were analysed with the method. Isoxanthohumol, formed by isomerization of xanthohumol during the brewing process, was the most abundant flavonoid in hopped beers, ranging from 0.04 to 3.44 mg/l.",1104
Occurrence of flavonols in tomatoes and tomato-based products,10898604,"The flavonol contents of 20 varieties of tomato fruit were investigated in relation to variety, size, season, and country of origin. Ten commonly consumed tomato-based food products were also assessed. Free and conjugated flavonols were identified and quantified using reversed-phase HPLC. Ninety-eight percent of flavonols detected in tomatoes were found to occur in the skin. Tomatoes contained, primarily as conjugates, quercetin and kaempferol. The main quercetin conjugate was identified as rutin (quercetin 3-rhamnosylglucoside) by LC-MS. The total flavonol content of the different varieties of tomato that were analyzed varied from 1.3 to 22.2 microgram/g of fresh weight (fw). Smaller cherry tomato fruits originating from warm sunny climates, such as Spain and Israel, were found to contain the highest concentration of flavonols. Among the tomato-based products investigated, tomato juice and tomato purée were rich in flavonols, containing 14-16 microgram/mL and 70 microgram/g fw, respectively. In contrast to fresh tomatoes, most tomato-based products contained significant amounts of free flavonols.",1105
On-line high-performance liquid chromatography analysis of the antioxidant activity of phenolic compounds in green and black tea,15602765,"Teas represent a rich source of dietary antioxidants. This paper describes analysis of the antioxidant potential of individual tea phenolics using an on-line high-performance liquid chromatography (HPLC) method. Tea phenolics from Kenyan green and black teas were identified using liquid chromatography--mass spectrometry (LC-MS(n)) in conjunction with the analysis of their 2,2'-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid (ABTS+) radical scavenging ability. Antioxidant potential of flavan-3-ols, caffeoylquinic acids, flavonols, and theaflavins was assessed in comparison to the synthetic vitamin E analogue Trolox. (-)-Epigallocatechin gallate was identified as the most potent antioxidant with a Trolox equivalent antioxidant capacity (TEAC) value of 3.0, contributing approximately 30% of the total antioxidant capacity of green tea. Theaflavins retained antioxidant capacity similar to that of (-)-epicatechin monomers whilst conjugated flavonols did not contribute significantly to the antioxidant capacity of either green or black tea. After HPLC analysis of the antioxidant capacity of phenolics in black tea some 80% of antioxidant activity remained unaccounted for indicating the potential importance of thearubigens as antioxidants in black teas.",1106
Pharmacokinetics of anthocyanins and ellagic acid in healthy volunteers fed freeze-dried black raspberries daily for 7 days,16172180,"Eleven subjects completed a clinical trial to determine the safety/tolerability of freeze-dried black raspberries (BRB) and to measure, in plasma and urine, specific anthocyanins-cyanidin-3-glucoside, cyanidin-3-sambubioside, cyanidin-3-rutinoside, and cyanidin-3-xylosylrutinoside, as well as ellagic acid. Subjects were fed 45 g of freeze-dried BRB daily for 7 days. Blood samples were collected predose on days 1 and 7 and at 10 time points postdose. Urine was collected for 12 hours predose on days 1 and 7 and at three 4-hour intervals postdose. Maximum concentrations of anthocyanins and ellagic acid in plasma occurred at 1 to 2 hours, and maximum quantities in urine appeared from 0 to 4 hours. Overall, less than 1% of these compounds were absorbed and excreted in urine. None of the pharmacokinetic parameters changed significantly between days 1 and 7. In conclusion, 45 g of freeze-dried BRB daily are well tolerated and result in quantifiable anthocyanins and ellagic acid in plasma and urine.",1107
"No effect of the farming system (organic/conventional) on the bioavailability of apple (Malus domestica Bork., cultivar Golden Delicious) polyphenols in healthy men: a comparative study",20033417,"The organic food sales have been increasing during the recent years. It has been hypothesised that organically grown fruits are healthier based on their higher content of phytochemicals. However, data on the bioavailability of phytochemicals from organically or conventionally produced plant foods are scarce.",1108
Composition and properties of flaxseed phenolic oligomers,26050172,"An extract from flaxseed containing oligomeric structures of the phenolic glucosides secoisolariciresinol diglucoside (SDG), p-coumaric acid glucoside and ferulic acid glucoside was fractionated into three oligomeric fractions (F50, F60 and F70) by reversed phase liquid chromatography and further subfractionated by Sepharose CL-6B. The F50 fraction, which had the highest proportion of hydroxycinnamic acid glucosides, was also fractionated on Sephadex LH-20 according to hydrophobicity and size. The different separations resulted in complex profiles of UV-absorbing molecules. HPLC analyses indicated that reversed-phase chromatography separated the oligomers according to composition of the phenolic glucosides, while the subfractionation revealed that other structural features of the oligomers were also important. Using the DPPH radical, SDG and oligomeric fractions showed similar hydrogen-donating abilities comparable to ferulic acid but higher than α-tocopherol, which suggests that SDG was the only active antioxidant.",1109
Phenolic glucosides in bread containing flaxseed,26047292,"Three phenolic glucosides, secoisolariciresinol diglucoside, p-coumaric acid glucoside and ferulic acid glucoside, were analyzed in commercial breads containing flaxseed. The total phenolic glucoside content ranged from 15 to 157mg/100g dry bread. Secoisolariciresinol diglucoside was the dominating phenolic glucoside with an average relative content of 62%, followed by p-coumaric acid glucoside (20%) and ferulic acid glucoside (18%). Strong positive correlations between the phenolic glucosides were found, indicating no major effect of raw material or bread-making process on the relative content of the phenolic glucosides in flaxseed.",1110
Determination of total content of phenolic compounds and their antioxidant activity in vegetables - evaluation of spectrophotometric methods,16448157,"This research studies in detail the contents of phenolic compounds determined by the Folin-Ciocalteu reagent and the antioxidant activities determined by the TEAC (Trolox equivalent antioxidant capacity), DPPH (using diphenyl-p-picrylhydrazyl radical), and FRAP (ferric reducing antioxidant power) methods, and their correlations for used standards with these methods (catechine, gallic acid, caffeic acid, ferulic acid, Trolox, ascorbic acid, and ferrous sulfate) and extracts from several species of commonly consumed vegetables were studied in detail. The comparison of absolute values of absorption coefficients for used standards and for individual methods allows one to choose optimal common standards for methods to be compared. The procedures applied for the same sets of the extracts using identical calibration procedures and common standards allowed better comparison of the results obtained by the TEAC, DPPH, and FRAP methods. The values of content of phenolic substances and total antioxidant activity of the sets of samples correlate very well for all used methods. The very high values of antioxidant activity were found in intensely colored vegetables (red cabbage, red onion, etc.), and the values were very low in watery vegetables such as potato, marrow, and cucumber.",1111
Improved method for identifying and quantifying olive oil phenolic compounds and their metabolites in human plasma by microelution solid-phase extraction plate and liquid chromatography-tandem mass sp,19913464,"Two methods based on solid-phase extraction (SPE) using traditional cartridges and microelution SPE plates (muSPE) as the sample pre-treatment, and an improved liquid chromatography coupled to tandem mass spectrometry (UPLC-MS/MS) were developed and compared to determine the phenolic compounds in virgin oil olive from plasma samples. The phenolic compounds studied were hydroxytyrosol, tyrosol, homovanillic acid, p-coumaric acid, 3,4-DHPEA-EDA, p-HPEA-EDA, luteolin, apigenin, pinoresinol and acetoxypinoresinol. Good recoveries were obtained in both methods, and the LOQs and LODs were similar, in the range of low muM. The advantage of muSPE, in comparison with SPE cartridges, was the lack of the evaporation step to pre-concentrate the analytes. The muSPE-UPLC-ESI-MS/MS method developed was then applied to determine the phenolic compounds and their metabolites, in glucuronide, sulphate and methylated forms, in human plasma after the ingestion of virgin olive oil.",1112
Aseptically packaged UHPH-treated apple juice: Safety and quality parameters during storage,NA,NA,1113
High performance liquid chromatography of the neutral phenolic compounds of low molecular weight in apple juice,NA,NA,1114
Effect of different cooking methods on the antioxidant activity of some vegetables from Pakistan,NA,NA,1115
Antioxidant and antiproliferative activities of common fruits,NA,NA,1116
Introduction and nutritional evaluation of buckwheat sprouts as a new vegetable,NA,NA,1117
"Effect of heat processing of spices on the concentrations of their bioactive principles: turmeric (Curcuma longa), red pepper (Capsicum annuum) and black pepper (Piper nigrum)",NA,NA,1118
Comparative study of catechin compositions in five Japanese persimmons (Diospyros kaki),NA,NA,1119
"Storage effects on anthocyanins, phenolics and antioxidant activity of thermally processed conventional and organic blueberries",21969304,"Consumer demand for products rich in phytochemicals is increasing as a result of greater awareness of their potential health benefits. However, processed products are stored for long-term and the phytochemicals are susceptible to degradation during storage. The objective of this study was to assess the storage effects on phytochemicals in thermally processed blueberries. Thermally processed canned berries and juice/puree were analysed for phytochemicals during their long-term storage.",1120
The release of ferulic acid and feruloylated oligosaccharides during wort and beer production,NA,NA,1121
The antioxidant capacity of cocoa products: contribution to the Spanish diet,NA,NA,1122
Characterization of black bean (Phaseolus vulgaris L.) anthocyanins,NA,NA,1123
"Anthocyanin metabolism in rats and their distribution to digestive area, kidney, and brain",15884815,"Anthocyanins are present in human diet due to their wide occurrence in fruits and beverages. They possess antioxidant activities and could be involved in several health effects. The aim of this study was to investigate anthocyanin metabolism and distribution in the digestive area organs (stomach, jejunum and liver) and kidney, as well as a target tissue (brain) in rats fed with a blackberry (Rubus fruticosus L.) anthocyanin-enriched diet for 15 days. Identification and quantification of anthocyanin metabolites was carried out by HPLC-ESI-MS-MS and HPLC-DAD, respectively. The stomach exhibited only native blackberry anthocyanins (cyanidin 3-O-glucoside and cyanidin 3-O-pentose), while in other organs (jejunum, liver, and kidney) native and methylated anthocyanins as well as conjugated anthocyanidins (cyanidin and peonidin monoglucuronides) were identified. Proportions of anthocyanin derivatives differed according to the organ considered, with the liver presenting the highest proportion of methylated forms. Jejunum and plasma also contained aglycone forms. In the brain, total anthocyanin content (blackberry anthocyanins and peonidin 3-O-glucoside) reached 0.25 +/- 0.05 nmol/g of tissue (n = 6). The urinary excretion of total anthocyanins was low (0.19 +/- 0.02% of the ingested amount). Thus, organs of the digestive area indicated a metabolic pathway of anthocyanins with enzymatic conversions (methylation and/or glucurono-conjugation). Moreover, following consumption of an anthocyanin-rich diet, anthocyanins enter the brain.",1124
Chemical and sensory quality of processed carrot puree as influenced by stress-induced phenolic compounds,10563981,"Physicochemical analysis of processed strained product was performed on 10 carrot genotypes grown in Texas (TX) and Georgia (GA). Carrots from GA experienced hail damage during growth, resulting in damage to their tops. Measurements included pH, moisture, soluble phenolics, total carotenoids, sugars, organic acids, and isocoumarin (6-MM). Sensory analysis was conducted using a trained panel to evaluate relationships between chemical and sensory attributes of the genotypes and in carrots spiked with increasing levels of 6-MM. Preharvest stress conditions in GA carrots seemed to elicit a phytoalexic response, producing compounds that impacted the perception of bitter and sour flavors. Spiking 6-MM into strained carrots demonstrated the role bitter compounds have in lowering sweetness scores while increasing the perception of sour flavor. Screening fresh carrots for the phytoalexin 6-MM has the potential to significantly improve the sensory quality of processed products.",1125
Polyphenolic content and sensory properties of normal and high oleic acid peanuts,NA,NA,1126
"Polyphenolic and antioxidant changes during storage of normal, mid, and high oleic acid peanuts",NA,NA,1127
Ripening associated phytochemical changes in mangos (Mangifera indica) following thermal quarantine and low-temperature storage,NA,NA,1128
Gas chromatographic identification of phenolic acids found in sweet cherry and sour cherry juice,NA,NA,1129
Phenolic compounds in pear juice from different cultivars,NA,NA,1130
Content and profile of flavanoid and phenolic acid compounds in conjunction with the antioxidant capacity for a variety of northwest Vaccinium berries,15137871,"This investigation evaluated the content and profile of flavanoid and phenolic acid compounds present in nine Vaccinium species that included domestic blueberry cultivars and sample collections from undomesticated colonies. The study was focused in two areas of inquiry. The first involved extracting and analyzing the berries for total phenolics (TPH), total anthocyanins (ACY), and the antioxidant capacity. Vaccinium species differ in their polyphenolic content, and these high TPH and ACY levels are correlated to their antioxidant capacity. Second, berry extracts were analyzed by high-performance liquid chromatography equipped with photodiode array and mass spectrometric detectors to determine the content and profile of selected bioactive compounds. The flavanoid analytes of interest included the anthocyanidins, flavan-3-ols, and flavonol aglycons, as well as specific phenolic acid components. This semicomprehensive analysis begins to characterize the phytochemical profiles and illustrates the differences in the content of polyphenolic compounds present within these Vaccinium species.",1131
Curcumin content of turmeric and curry powders,17044766,"Curcumin, derived from the rhizome curcuma longa, is one of the primary ingredients in turmeric and curry powders that are used as spices in Middle Eastern and Asian countries, especially on the Indian subcontinent. More recently, laboratory studies have demonstrated that dietary curcumin exhibits various biological activities and significantly inhibits colon tumorigenesis and tumor size in animals. Curcumin displays both anti-inflammatory and antioxidant properties, giving it the potential to be considered in the development of cancer preventive strategies and applications in clinical research. Experimental studies have shown the biological activities of the compound, but much more information on pharmacokinetics, bioavailability, and food content are needed. Whether the amount of curcumin in turmeric and curry powders is sufficient to suggest effects on biological activities and cancer risk is unknown. To determine and compare the quantitative amounts of curcumin that are present in several brands of turmeric and curry powders, a high performance liquid chromatography technique was used to analyze 28 spice products described as turmeric or curry powders and two negative controls. Pure turmeric powder had the highest curcumin concentration, averaging 3.14% by weight. The curry powder samples, with one exception, had relatively small amounts of curcumin present, and the variability in content was great. The curcumin content of these seasoning products that are consumed as a component of the diet should be considered in evaluating baseline tissue concentration and response to curcumin supplementation, which is under study in chemoprevention trials.",1132
[Study comparing some chemical constituents of two types of pepper (Capsicum annum L.) during storage in acid pickle.],NA,NA,1133
Wine phenolics: contribution to dietary intake and bioavailability,NA,NA,1134
Composition of anthocyanin pigments in aromatic red rice and its wine,NA,NA,1135
"Phytoestrogen content of foods consumed in Canada, including isoflavones, lignans, and coumestan",16898863,"Phytoestrogens may play a role in hormone-related diseases such as cancer, but epidemiological and clinical data are conflicting in part due to inadequate databases used in intake estimation. A database of nine phytoestrogens in foods relevant to Western diets was developed to more accurately estimate intakes. Foods (N = 121) available in Ontario, Canada were prepared as commonly consumed and analyzed for isoflavones (genistein, daidzein, glycitein, formononetin), lignans (secoisolariciresinol, matairesinol, pinoresinol, lariciresinol), and coumestan (coumestrol) using gas chromatography-mass spectrometry methods. Data were presented on an as is (wet) basis per 100 g and per serving. Food groups with decreasing levels of total phytoestrogens per 100 g are nuts and oilseeds, soy products, cereals and breads, legumes, meat products, and other processed foods that may contain soy, vegetables, fruits, alcoholic, and nonalcoholic beverages. Soy products contain the highest amounts of isoflavone, followed by legumes, meat products and other processed foods, cereals and breads, nuts and oilseeds, vegetables, alcoholic beverages, fruits, and nonalcoholic beverages. Decreasing amounts of lignans are found in nuts and oilseeds, cereals and breads, legumes, fruits, vegetables, soy products, processed foods, alcoholic, and nonalcoholic beverages. The richest sources of specific phytoestrogens, including coumestrol, were identified. The database will improve phytoestrogen intake estimation in future epidemiological and clinical studies particularly in Western populations.",1136
Effect of different organic growing conditions on quality of cooked potatoes,NA,NA,1137
Urinary excretion of black raspberry (Rubus occidentalis) anthocyanins and their metabolites,16478275,"Anthocyanins are the most abundant phenolic compounds, widely distributed in fruits and vegetables, and exhibit potent antioxidant capacity. Humans ingest a significant amount of anthocyanins in the daily diet. The objective of the current study was to examine human absorption and metabolism of black raspberry anthocyanins when administered at high doses (2.69 +/- 0.085 g/day). Ten healthy men consumed 45 g of freeze-dried black raspberries daily for 1 week. Urine samples were collected over a 12 h period in 4 h intervals at day 1 and day 7. Urinary anthocyanins were analyzed by high-performance liquid chromatography coupled to a photodiode array detector and a tandem mass spectrometer using precursor ion and product ion analyses. Anthocyanins were excreted in intact forms and metabolized into methylated derivatives in human urine. The urinary excretion of anthocyanins reached a maximum concentration (1091.8 +/- 1081.3 pmol/L, n = 10) during the 4-8 h period after black raspberry ingestion. As compared to the anthocyanin distribution in black raspberries, urinary cyanidin 3-xylosylrutinoside was detected at a higher concentration than that of cyanidin-3-rutinoside.",1138
Antioxidant activities of buckwheat extracts,NA,NA,1139
"Spectrophotometric determination of the tannin contents of various Turkish black tea, beer and wine samples",11400478,"This study reports tannin contents of various tea (19), beer (6) and wine (6) samples, produced or sold in Turkey under different brand names. Determinations were carried out by employing a previously reported UV-vis spectrophotometric method. The standard addition procedure was also compared to the direct determination procedure and found to be more reliable. The tannin contents of hot water extracts of tea, tea bag and herbal tea samples ranged between 6.20-8.33, 8.03-6.59 and 2.76-6.54 percent (w/w) respectively. Tannin contents of beer and wine samples determined without extraction were found ranging between 66.36-77.26 and 67.18-107.62 micrograms/mL respectively. Iron contents of analysed wine samples were also found ranging between 0.36 and 10.33 ppm by AAS and no relation is found between tannin and iron contents.",1140
Distinguishing organic wines from normal wines on the basis of concentrations of phenolic compounds and spectral data,NA,NA,1141
"Optimized method for simultaneous determination of catechin, gallic acid, and methylxanthine compounds in chocolate using RP-HPLC",NA,NA,1142
"Determination of the phytoalexin resveratrol (3,5,4'-trihydroxystilbene) in peanuts and pistachios by high-performance liquid chromatographic diode array (HPLC-DAD) and gas chromatography-mass spectro",15941348,"The phytoalexin resveratrol (3,5,4'-trihydroxystilbene) in edible peanut (Arachis hypogaea L.) and pistachio (Pistacia vera L.) varieties grown in Turkey was analyzed by high-performance liquid chromatographic diode array and gas chromatography-mass spectrometric detection. trans-Resveratrol in six peanut varieties, five pistachio varieties, and four market samples ranged between 0.03 and 1.92 microg/g. The Cerezlik 5025 peanut (1.92 +/- 0.01 microg/g) and Ohadi pistachio genotype (1.67 +/- 0.01 microg/g) had significantly higher trans-resveratrol contents. Peanuts contained 0.03-1.92 microg/g (av = 0.84 microg/g) of trans-resveratrol, whereas pistachio contained 0.09-1.67 microg/g (av = 1.15 microg/g). With exposure to UV light for 1 min, trans-resveratrol concentrations of samples ranged from 0.02 to 1.47 microg/g and those of cis-resveratrol from 0.008 to 0.32 microg/g. The occurrence of resveratrol in peanut and pistachio was confirmed by total ion chromatograms (TIC) of bis[trimethylsilyl]trifluoroacetamide derivatives of resveratrol isomers and comparison of the mass spectral fragmentation data with those of a resveratrol standard. Formation of the cis-isomer in pistachios was higher than in peanuts.",1143
"A new flow-injection spectrophotometric method for the determination of tannins in tea and beer using iron(III) and 1,10-phenanthroline",NA,NA,1144
Flavonoid concentration changes in maturing broad bean pods,NA,NA,1145
Dihydrochalcones from apple juices and jams,NA,NA,1146
"HPLC-DAD-ESIMS analysis of phenolic compounds in nectarines, peaches, and plums",11600017,"The phenolic compounds of 25 peach, nectarine, and plum cultivars were studied and quantified by HPLC-DAD-ESIMS. Hydroxycinnamates, procyanidins, flavonols, and anthocyanins were detected and quantified. White and yellow flesh nectarines and peaches, and yellow and red plums, were analyzed at two different maturity stages with consideration of both peel and flesh tissues. HPLC-MS analyses allowed the identification of procyanidin dimers of the B- and A-types, as well as the presence of procyanidin trimers in plums. As a general rule, the peel tissues contained higher amounts of phenolics, and anthocyanins and flavonols were almost exclusively located in this tissue. No clear differences in the phenolic content of nectarines and peaches were detected or between white flesh and yellow flesh cultivars. There was no clear trend in phenolic content with ripening of the different cultivars. Some cultivars, however, had a very high phenolic content. For example, the white flesh nectarine cultivar Brite Pearl (350-460 mg/kg hydroxycinnamates and 430-550 mg/kg procyanidins in flesh) and the yellow flesh cv. Red Jim (180-190 mg/kg hydroxycinnamates and 210-330 mg/kg procyanidins in flesh), contained 10 times more phenolics than cultivars such as Fire Pearl (38-50 mg/kg hydroxycinnamates and 23-30 mg/kg procyanidins in flesh). Among white flesh peaches, cultivars Snow King (300-320 mg/kg hydroxycinnamates and 660-695 mg/kg procyanidins in flesh) and Snow Giant (125-130 mg/kg hydroxycinnamates and 520-540 mg/kg procyanidins in flesh) showed the highest content. The plum cultivars Black Beaut and Angeleno were especially rich in phenolics.",1147
A new process to develop a cocoa powder with higher flavonoid monomer content and enhanced bioavailability in healthy humans,17439235,"Cocoa is a food rich in polyphenols, mainly the flavonoid procyanidins and flavan-3-ols. The improvement of the cardiovascular function in humans upon cocoa consumption has been specifically linked to the presence of flavan-3-ol derived metabolites in plasma, especially epicatechin glucuronide. In this context, a flavonoid-enriched cocoa-derived product could potentially exert stronger health benefits. The aim of the present study was to obtain a cocoa powder with a higher flavonoid content (mainly enriched in monomer compounds) and assess its flavonoid bioavailability in humans. For this purpose, an unfermented, nonroasted, and blanch-treated cocoa powder (A) was obtained. The powder contained four times more procyanidins than a conventional (B) cocoa powder. Powder A contained eight times more epicatechin and procyanidin B2 than powder B. Cocoa milk drinks were prepared with powder A (MDA) and B (MDB). The bioavailability of flavonoids in both drinks was assessed in a crossover intervention with healthy volunteers. The content of epicatechin glucuronide, the main metabolite detected in plasma, was five-fold higher upon consumption of MDA as compared with MDB. The urinary excretion of metabolites, mainly methyl epicatechin sulfate, was higher upon MDA consumption as compared with MDB, ranging from two- to 12-fold higher depending on the metabolite. These results, together with previous reports regarding the cardiovascular benefits linked to the presence of procyanidin metabolites in plasma, suggest that further clinical trials to validate the health benefits of a flavonoid-enriched cocoa powder are warranted.",1148
Seasonal variations in the antioxidant composition of greenhouse grown tomatoes,NA,NA,1149
Total phenolics and high-performance liquid chromatography of phenolic acids of avocado,NA,NA,1150
"The effects of genotype and extraction methods on chemical composition of virgin olive oils from Traslasierra Valley (Cordoba, Argentina)",NA,NA,1151
Chemical composition of Arbequina virgin olive oil in relation to extraction and storgae conditions,NA,NA,1152
Chronic dietary intake of plant-derived anthocyanins protects the rat heart against ischemia-reperfusion injury,18356330,"Consumption of flavonoid-rich foods and beverages is thought to reduce the risk of cardiovascular diseases. Whereas the biological activities of flavonoids have been characterized in vitro, there are no clear experimental data demonstrating that chronic dietary intake and intestinal absorption of flavonoids actually protects the heart against ischemia-reperfusion injury. We tested whether long-term consumption of specific flavonoids (anthocyanins) included in normal food could render the heart of rats more resistant to myocardial infarction. Maize kernels that differed specifically in their accumulation of anthocyanins were used to prepare rodent food in which anthocyanins were either present or absent. Male Wistar rats were fed the anthocyanin-rich (ACN-rich) or the anthocyanin-free (ACN-free) diet for a period of 8 wk. Anthocyanins were significantly absorbed and detected in the blood and urine of only rats fed the ACN-rich diet. In Langendorff preparations, the hearts of rats fed the ACN-rich diet were more resistant to regional ischemia and reperfusion insult. Moreover, on an in vivo model of coronary occlusion and reperfusion, infarct size was reduced in rats that ate the ACN-rich diet than in those that consumed the ACN-free diet (P < 0.01). Cardioprotection was associated with increased myocardial glutathione levels, suggesting that dietary anthocyanins might modulate cardiac antioxidant defenses. Our findings suggest important potential health benefits of foods rich in anthocyanins and emphasize the need to develop anthocyanin-rich functional foods with protective activities for promoting human health.",1153
Effect of grain pre-treatment on different extractable phenolic groups in cereals and legumes commonly consumed in Tanzania,NA,NA,1154
Nutritional composition and flavonoid content of edible wild greens and green pies: a potential rich source of antioxidant nutrients in the Mediterranean diet,NA,NA,1155
